date,home_team,away_team,home_team_pregame_rating,away_team_pregame_rating,home_team_winprob,away_team_winprob,home_team_score,away_team_score,home_team_postgame_rating,away_team_postgame_rating,game_quality_rating,game_importance_rating,game_overall_rating,avg_attendance,team,abbr,wins,losses,otl,game_num,gf,ga
2021-10-21,Arizona Coyotes,Edmonton Oilers,1472.26736947664,1523.11437866084,0.498781058214115,0.501218941785885,1,5,1467.08714546367,1528.29460267381,36,47,41,11601,Arizona Coyotes,ARI,0,3,1,4,8,22
2021-10-23,Arizona Coyotes,New York Islanders,1467.08714546367,1534.68944283869,0.474689909301803,0.525310090698197,0,3,1462.74023742433,1539.03635087803,41,43,42,11601,Arizona Coyotes,ARI,0,4,1,5,8,25
2021-10-25,Florida Panthers,Arizona Coyotes,1551.96174982842,1462.74023742433,0.690278888027474,0.309721111972526,5,3,1554.16867214379,1460.53331510896,48,14,31,14811,Arizona Coyotes,ARI,0,5,1,6,11,30
2021-10-28,Tampa Bay Lightning,Arizona Coyotes,1556.76427772936,1460.53331510896,0.698838517085517,0.301161482914483,5,1,1559.68502022231,1457.61257261601,50,18,34,19092,Arizona Coyotes,ARI,0,6,1,7,12,35
2021-10-29,Washington Capitals,Arizona Coyotes,1538.58414249524,1457.61257261601,0.680035067104587,0.319964932895413,2,0,1540.87268152077,1455.32403359048,36,20,28,18573,Arizona Coyotes,ARI,0,7,1,8,12,37
2021-10-31,Carolina Hurricanes,Arizona Coyotes,1568.39628415577,1455.32403359048,0.718840896095189,0.281159103904811,2,1,1569.65390473965,1454.0664130066,53,8,30,17210,Arizona Coyotes,ARI,0,8,1,9,13,39
2021-11-02,Philadelphia Flyers,Arizona Coyotes,1497.94571069031,1454.0664130066,0.631908412042454,0.368091587957546,3,0,1501.19653142293,1450.81559227398,14,25,19,16540,Arizona Coyotes,ARI,0,9,1,10,13,42
2021-11-05,Anaheim Ducks,Arizona Coyotes,1451.83313162542,1450.81559227398,0.572896956209444,0.427103043790556,3,1,1455.00422428189,1447.64449961751,2,13,7,13083,Arizona Coyotes,ARI,0,10,1,11,14,45
2021-11-06,Arizona Coyotes,Seattle Kraken,1447.64449961751,1481.85194010355,0.522711680508845,0.477288319491155,5,4,1449.93161026878,1479.56482945228,7,16,11,11601,Arizona Coyotes,ARI,1,10,1,12,19,49
2021-11-10,Arizona Coyotes,Minnesota Wild,1449.93161026878,1530.41994174284,0.4562360411318,0.5437639588682,2,5,1445.77956801436,1534.57198399726,26,16,21,11601,Arizona Coyotes,ARI,1,11,1,13,21,54
2021-11-12,Chicago Blackhawks,Arizona Coyotes,1457.3057126803,1445.77956801436,0.587629143466757,0.412370856533243,2,1,1459.23894737596,1443.8463333187,2,5,3,18489,Arizona Coyotes,ARI,1,12,1,14,22,56
2021-11-13,Nashville Predators,Arizona Coyotes,1519.03574339876,1443.8463333187,0.672749733347602,0.327250266652398,4,1,1521.8842707097,1440.99780600776,18,15,16,18495,Arizona Coyotes,ARI,1,13,1,15,23,60
2021-11-16,St. Louis Blues,Arizona Coyotes,1517.67906901774,1440.99780600776,0.674637588943747,0.325362411056253,2,3,1514.20680810226,1444.47006692324,16,13,14,17716,Arizona Coyotes,ARI,2,13,1,16,26,62
2021-11-18,Arizona Coyotes,Columbus Blue Jackets,1444.47006692324,1474.01335594811,0.529405600779198,0.470594399220802,4,5,1441.88790607618,1476.59551679517,4,12,8,11601,Arizona Coyotes,ARI,2,13,2,17,30,67
2021-11-20,Arizona Coyotes,Detroit Red Wings,1441.88790607618,1444.52223088269,0.567745505956369,0.432254494043631,2,1,1443.92803888532,1442.48209807355,1,4,2,11601,Arizona Coyotes,ARI,3,13,2,18,32,68
2021-11-21,Los Angeles Kings,Arizona Coyotes,1476.0382549947,1443.92803888532,0.616014189713171,0.383985810286829,1,2,1472.93953007908,1447.02676380094,4,18,11,14828,Arizona Coyotes,ARI,4,13,2,19,34,69
2021-11-24,Arizona Coyotes,Edmonton Oilers,1447.02676380094,1535.34776247171,0.445074200137224,0.554925799862776,3,5,1443.70215073069,1538.67237554196,27,8,17,11601,Arizona Coyotes,ARI,4,14,2,20,37,74
