,date,ot,home_team,away_team,home_team_abbr,away_team_abbr,home_team_pregame_rating,away_team_pregame_rating,home_team_winprob,away_team_winprob,overtime_prob,home_team_expected_points,away_team_expected_points,home_team_score,away_team_score,home_team_postgame_rating,away_team_postgame_rating,game_quality_rating,game_importance_rating,game_overall_rating,team,abbr,game_num,last_game_date,team_rating,opposing_team_rating,rating_diff,gf,ga,rest_days,game_outcome
2015,2022-02-11,reg,Anaheim Ducks,Seattle Kraken,ANA,SEA,1472.63446761382,1442.89138525833,0.612785957601514,0.387214042398486,0.230306208954959,1.31474971336195,0.915556495593011,3,4,1469.55568501881,1445.97016785334,4,18,11,Seattle Kraken,SEA,48,2022-02-09,1442.89138525833,1472.63446761382,-29.74308235549006,4,3,2.0,W
2016,2022-02-14,reg,Seattle Kraken,Toronto Maple Leafs,SEA,TOR,1445.97016785334,1568.35868963788,0.397306242490449,0.602693757509551,0.231553346170713,0.934168241248435,1.29738510492228,2,6,1441.98292808141,1572.34592940981,46,0,23,Seattle Kraken,SEA,49,2022-02-11,1445.97016785334,1568.35868963788,-122.38852178453999,2,6,3.0,L
2017,2022-02-17,reg,Winnipeg Jets,Seattle Kraken,WPG,SEA,1500.35711536471,1441.98292808141,0.651094111355174,0.348905888644826,0.225496075102234,1.38086513117981,0.844630943922421,5,3,1502.8787810241,1439.46126242202,10,12,11,Seattle Kraken,SEA,50,2022-02-14,1441.98292808141,1500.35711536471,-58.37418728329999,3,5,3.0,L
2018,2022-02-19,reg,Calgary Flames,Seattle Kraken,CGY,SEA,1551.40278615644,1439.46126242202,0.717523501579723,0.282476498420277,0.216689100946635,1.49625658164069,0.720432519305947,2,1,1552.66694532472,1438.19710325374,32,0,16,Seattle Kraken,SEA,51,2022-02-17,1439.46126242202,1551.40278615644,-111.94152373442012,1,2,2.0,L
2019,2022-02-21,reg,Vancouver Canucks,Seattle Kraken,VAN,SEA,1483.54358612055,1438.19710325374,0.63387070802474,0.36612929197526,0.227675905677499,1.35110023419501,0.876575671482491,5,2,1486.77486537206,1434.96582400223,5,7,6,Seattle Kraken,SEA,52,2022-02-19,1438.19710325374,1483.54358612055,-45.34648286680999,2,5,2.0,L
2020,2022-02-22,reg,Seattle Kraken,New York Islanders,SEA,NYI,1434.96582400223,1500.42060151375,0.477773445162789,0.522226554837211,0.241366818937613,1.08159505263138,1.15977176630623,2,5,1430.58612992492,1504.80029559106,8,3,5,Seattle Kraken,SEA,53,2022-02-21,1434.96582400223,1500.42060151375,-65.45477751151998,2,5,1.0,L
2021,2022-02-24,OT,Seattle Kraken,Boston Bruins,SEA,BOS,1430.58612992492,1543.24163801693,0.410796395789757,0.589203604210243,0.233211047108567,0.959001581077527,1.27420946603104,2,3,1428.66130595897,1545.16646198288,22,4,13,Seattle Kraken,SEA,54,2022-02-22,1430.58612992492,1543.24163801693,-112.65550809201,2,3,2.0,OTL
2022,2022-02-27,reg,San Jose Sharks,Seattle Kraken,SJS,SEA,1450.06281616253,1428.66130595897,0.601332462248737,0.398667537751263,0.23172107561,1.29504459515599,0.936676480454012,3,1,1452.99434346657,1425.72977865493,0,0,0,Seattle Kraken,SEA,55,2022-02-24,1428.66130595897,1450.06281616253,-21.401510203560065,1,3,3.0,L
2023,2022-03-02,reg,Seattle Kraken,Nashville Predators,SEA,NSH,1425.72977865493,1523.29678095081,0.431970102277703,0.568029897722297,0.235797166053327,0.997880044671884,1.23791712138144,4,3,1428.53783799334,1520.4887216124,12,14,13,Seattle Kraken,SEA,56,2022-02-27,1425.72977865493,1523.29678095081,-97.56700229588,4,3,3.0,W
2024,2022-03-05,reg,Washington Capitals,Seattle Kraken,WSH,SEA,1531.76584586895,1428.53783799334,0.707247123938218,0.292752876061782,0.218104566892435,1.47834498711641,0.73975957977603,5,2,1534.28166366824,1426.02202019405,16,6,11,Seattle Kraken,SEA,57,2022-03-02,1428.53783799334,1531.76584586895,-103.22800787561005,2,5,3.0,L
