,ot,home_team,away_team,home_team_abbr,away_team_abbr,home_team_score,away_team_score,home_team_diff,away_team_diff,distance
314,,Los Angeles Kings,Ottawa Senators,LAK,OTT,4,2,2,-2,3784.07
315,,Pittsburgh Penguins,Montreal Canadiens,PIT,MTL,3,6,-3,3,1119.12
316,,Vegas Golden Knights,Edmonton Oilers,VEG,EDM,2,3,-1,1,1611.37
317,OT,Detroit Red Wings,Buffalo Sabres,DET,BUF,3,2,1,-1,347.05
318,,St. Louis Blues,Columbus Blue Jackets,STL,CBJ,6,3,3,-3,636.79
319,,Arizona Coyotes,Dallas Stars,ARI,DAL,2,3,-1,1,1439.29
320,,Colorado Avalanche,Nashville Predators,COL,NSH,6,2,4,-4,1641.33
321,,Calgary Flames,Winnipeg Jets,CGY,WPG,2,4,-2,2,1200.88
322,,Carolina Hurricanes,Washington Capitals,CAR,WSH,2,4,-2,2,375.51
323,,Minnesota Wild,Tampa Bay Lightning,MIN,TBL,4,2,2,-2,2112.58
324,,Chicago Blackhawks,San Jose Sharks,CHI,SJS,0,2,-2,2,2942.92
325,,Boston Bruins,Vancouver Canucks,BOS,VAN,3,2,1,-1,4023.05
326,,New Jersey Devils,Philadelphia Flyers,NJD,PHI,5,2,3,-3,125.57
327,,Anaheim Ducks,Toronto Maple Leafs,ANA,TOR,1,5,-4,4,3558.82
328,,Buffalo Sabres,Seattle Kraken,BUF,SEA,4,7,-3,3,3398.68
329,,Winnipeg Jets,Arizona Coyotes,WPG,ARI,0,1,-1,1,2200.88
330,,Montreal Canadiens,Vancouver Canucks,MTL,VAN,1,2,-1,1,3522.19
331,SO,Calgary Flames,Pittsburgh Penguins,CGY,PIT,2,1,1,-1,2861.39
332,,New Jersey Devils,San Jose Sharks,NJD,SJS,2,5,-3,3,4089.19
333,,Florida Panthers,Washington Capitals,FLA,WSH,5,4,1,-1,1449.77
334,,Boston Bruins,Detroit Red Wings,BOS,DET,1,2,-1,1,984.67
335,SO,St. Louis Blues,Tampa Bay Lightning,STL,TBL,4,3,1,-1,1388.06
336,,Nashville Predators,Columbus Blue Jackets,NSH,CBJ,6,0,6,-6,538.86
337,,Minnesota Wild,Arizona Coyotes,MIN,ARI,5,2,3,-3,2072.7
338,,Dallas Stars,Carolina Hurricanes,DAL,CAR,4,1,3,-3,1692.44
339,SO,Los Angeles Kings,Anaheim Ducks,LAK,ANA,4,5,-1,1,62.02
340,,New York Rangers,Philadelphia Flyers,NYR,PHI,4,1,3,-3,137.47
341,,Ottawa Senators,Vancouver Canucks,OTT,VAN,2,6,-4,4,3527.61
342,,Toronto Maple Leafs,Colorado Avalanche,TOR,COL,8,3,5,-5,2162.35
343,SO,Detroit Red Wings,Seattle Kraken,DET,SEA,4,3,1,-1,3111.55
344,,Edmonton Oilers,Pittsburgh Penguins,EDM,PIT,5,2,3,-3,2861.26
345,,Anaheim Ducks,Vegas Golden Knights,ANA,VEG,6,5,1,-1,582.02
346,SO,Washington Capitals,Chicago Blackhawks,WSH,CHI,3,4,-1,1,972.34
347,,Tampa Bay Lightning,St. Louis Blues,TBL,STL,4,2,2,-2,1388.06
348,,Montreal Canadiens,Colorado Avalanche,MTL,COL,1,4,-3,3,2687.27
349,,Carolina Hurricanes,Ottawa Senators,CAR,OTT,2,3,-1,1,1081.54
350,,Florida Panthers,Buffalo Sabres,FLA,BUF,7,4,3,-3,1863.46
351,OT,New York Islanders,San Jose Sharks,NYI,SJS,1,2,-1,1,4126.39
352,,Nashville Predators,Boston Bruins,NSH,BOS,0,2,-2,2,1518.19
353,,Minnesota Wild,New Jersey Devils,MIN,NJD,5,2,3,-3,1608.62
354,,Dallas Stars,Columbus Blue Jackets,DAL,CBJ,3,2,1,-1,1468.5
355,,Los Angeles Kings,Calgary Flames,LAK,CGY,2,3,-1,1,1920.21
356,,New York Rangers,San Jose Sharks,NYR,SJS,1,0,1,-1,4103.54
357,,Winnipeg Jets,New Jersey Devils,WPG,NJD,8,4,4,-4,2052.85
358,,Arizona Coyotes,Vegas Golden Knights,ARI,VEG,1,7,-6,6,572.19
359,SO,Anaheim Ducks,Calgary Flames,ANA,CGY,3,4,-1,1,1955.31
360,,Seattle Kraken,Edmonton Oilers,SEA,EDM,4,3,1,-1,835.11
361,SO,Florida Panthers,St. Louis Blues,FLA,STL,4,3,1,-1,1665.55
362,SO,Minnesota Wild,Toronto Maple Leafs,MIN,TOR,4,3,1,-1,1100.31
363,OT,Detroit Red Wings,New York Islanders,DET,NYI,4,3,1,-1,796.9
364,OT,Nashville Predators,Montreal Canadiens,NSH,MTL,4,3,1,-1,1823.12
365,OT,Ottawa Senators,Colorado Avalanche,OTT,COL,6,5,1,-1,2447.09
366,OT,Boston Bruins,Tampa Bay Lightning,BOS,TBL,2,3,-1,1,1905.03
367,,Washington Capitals,Columbus Blue Jackets,WSH,CBJ,3,1,2,-2,527.51
368,,Carolina Hurricanes,Buffalo Sabres,CAR,BUF,6,2,4,-4,786.45
369,,New York Rangers,Chicago Blackhawks,NYR,CHI,3,2,1,-1,1160.62
370,,Vancouver Canucks,Pittsburgh Penguins,VAN,PIT,1,4,-3,3,3485.7
371,,Columbus Blue Jackets,San Jose Sharks,CBJ,SJS,6,4,2,-2,3363.57
372,,Philadelphia Flyers,Tampa Bay Lightning,PHI,TBL,1,7,-6,6,1488.37
373,SO,New York Islanders,Chicago Blackhawks,NYI,CHI,2,3,-1,1,1183.47
374,,Winnipeg Jets,Toronto Maple Leafs,WPG,TOR,6,3,3,-3,1515.82
375,,Edmonton Oilers,Los Angeles Kings,EDM,LAK,1,5,-4,4,2092.28
376,,Vegas Golden Knights,Calgary Flames,VEG,CGY,3,2,1,-1,1441.02
377,SO,Washington Capitals,Anaheim Ducks,WSH,ANA,4,3,1,-1,3757.68
378,,Philadelphia Flyers,Colorado Avalanche,PHI,COL,5,7,-2,2,2535.98
379,SO,New Jersey Devils,Ottawa Senators,NJD,OTT,2,3,-1,1,527.09
380,,Dallas Stars,Arizona Coyotes,DAL,ARI,4,1,3,-3,1439.29
381,,Seattle Kraken,Pittsburgh Penguins,SEA,PIT,1,6,-5,5,3434.31
382,,Vancouver Canucks,Los Angeles Kings,VAN,LAK,4,0,4,-4,1740.18
383,,Toronto Maple Leafs,Columbus Blue Jackets,TOR,CBJ,5,4,1,-1,507.1
384,,Ottawa Senators,New York Islanders,OTT,NYI,3,5,-2,2,540.23
385,,Montreal Canadiens,Tampa Bay Lightning,MTL,TBL,2,3,-1,1,2506.33
386,,Detroit Red Wings,Nashville Predators,DET,NSH,2,5,-3,3,759.51
387,,Buffalo Sabres,Anaheim Ducks,BUF,ANA,0,2,-2,2,3594.23
388,OT,St. Louis Blues,Florida Panthers,STL,FLA,4,3,1,-1,1665.55
389,,Winnipeg Jets,Carolina Hurricanes,WPG,CAR,2,4,-2,2,2158.71
390,,Chicago Blackhawks,New York Rangers,CHI,NYR,2,6,-4,4,1160.62
391,,Edmonton Oilers,Minnesota Wild,EDM,MIN,1,4,-3,3,1709.3
392,,San Jose Sharks,Calgary Flames,SJS,CGY,5,3,2,-2,1645.16
393,,New Jersey Devils,Philadelphia Flyers,NJD,PHI,3,0,3,-3,125.57
